INCIDENT_NUMBER,OFFENSE_CODE,OFFENSE_CODE_GROUP,DISTRICT,REPORTING_AREA,YEAR,MONTH,DAY_OF_WEEK,HOUR,UCR_PART,STREET,SHOOTING
74,1102,Fraud,C11,381,2015,9,Saturday,24,Part Two,GALLIVAN BLVD,N
75,1107,Fraud,B2,279,2015,12,Saturday,14,Part Two,DUDLEY ST,N
76,619,Larceny,E5,822,2015,12,Monday,14,Part One,GEORGETOWNE DR,N
77,3207,Property Found,C11,257,2015,9,Saturday,24,Part Three,SCHROEDER PLZ,N
78,1106,Confidence Games,E5,739,2015,12,Tuesday,24,Part Two,ADDELAIDE PL,N
79,3109,Police Service Incidents,E5,739,2015,12,Tuesday,24,Part Three,ADDELAIDE PL,N
80,1107,Fraud,D4,903,2015,11,Saturday,12,Part Two,LATTIMORE CT,N
81,1102,Fraud,A7,24,2015,10,Thursday,9,Part Two,MERIDIAN ST,N
82,2629,Harassment,C11,397,2015,7,Wednesday,9,Part Two,WELLES AVE,N
83,1102,Fraud,C6,219,2015,11,Friday,12,Part Two,COLUMBIA RD,N
84,614,Larceny From Motor Vehicle,B2,327,2015,11,Tuesday,12,Part One,QUINCY ST,N
85,3115,Investigate Person,C6,224,2015,11,Thursday,23,Part Three,E SECOND ST,N
86,613,Larceny,D4,627,2015,11,Sunday,17,Part One,BOYLSTON ST,N
87,614,Larceny From Motor Vehicle,D4,628,2015,11,Saturday,24,Part One,PARK DR,N
88,1106,Confidence Games,D4,625,2015,10,Monday,12,Part Two,PETERBOROUGH ST,N
89,1107,Fraud,B2,320,2015,11,Tuesday,14,Part Two,CRAWFORD ST,N
90,1107,Fraud,D4,171,2015,11,Monday,12,Part Two,ALBANY ST,N
91,1501,Firearm Violations,D4,171,2015,8,Sunday,2,Part Two,MASSACHUSETTS AVE,N
92,2629,Harassment,B2,180,2015,10,Wednesday,12,Part Two,DUNMORE ST,N
93,3018,Medical Assistance,C6,177,2015,6,Sunday,12,Part Three,NEW SUDBURY ST,N
94,1102,Fraud,E5,550,2015,10,Saturday,12,Part Two,JUNE ST,N
95,1107,Fraud,E5,680,2015,9,Tuesday,24,Part Two,FILOMENA RD,N
96,3201,Property Lost,C11,949,2015,11,Saturday,23,Part Three,BOWDOIN ST,N
97,1102,Fraud,D4,618,2015,6,Friday,17,Part Two,OPERA PL,N
98,2647,Other,E13,906,2015,10,Thursday,9,Part Two,HEATH ST,N
99,1102,Fraud,D4, ,2015,9,Sunday,12,Part Two,CLARENDON ST,N
100,1102,Fraud,B3,417,2015,9,Thursday,16,Part Two,ARMANDINE ST,N
101,3201,Property Lost,A1,77,2015,12,Tuesday,15,Part Three,NEW SUDBURY ST,N
102,1107,Fraud,B2,311,2015,10,Monday,13,Part Two,CLIFFORD ST,N
103,3115,Investigate Person,B2,329,2015,10,Sunday,11,Part Three,WASHINGTON ST,N
104,1107,Fraud,B2,326,2015,10,Saturday,12,Part Two,FAYSTON ST,N
